run_id,timestamp,status,reason,mode,task_name,model_name,dataset_name,seed,device,git_commit,hostname,python_version,torch_version,torchvision_version,cuda_available,num_params,trainable_params,total_train_time_sec,best_metric,final_metric,run_dir,metrics_json
frozen_cifar10_linear_seed0,2026-04-24T08:26:41Z,COMPLETED,,head_ablation,image_classification,linear,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,650,650,1.1413462162017822,0.419921875,0.435546875,reports/head_ablation/runs/20260424_082640_frozen_cifar10_linear_seed0,"{""best_metric"": 0.419921875, ""best_step"": 200, ""best_val_accuracy"": 0.419921875, ""final_metric"": 0.435546875, ""final_train_accuracy"": 0.484375, ""final_train_loss"": 1.5385525226593018, ""test_accuracy"": 0.435546875, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.7284548282623291, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.08859725296497345, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.3456082344055176, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.630357027053833, ""test_margin_mean"": -0.37490981817245483, ""test_nll"": 1.630357027053833, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 0.9706984758377075, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 1.1413462162017822, ""val_accuracy"": 0.419921875, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.7312248349189758, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.08073456585407257, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.3535388708114624, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.6234207153320312, ""val_margin_mean"": -0.3703137934207916, ""val_nll"": 1.6234207153320312, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 0.9832251071929932, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_mlp_seed0,2026-04-24T08:26:42Z,COMPLETED,,head_ablation,image_classification,mlp,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,9738,9738,0.9383153915405273,0.423828125,0.41796875,reports/head_ablation/runs/20260424_082641_frozen_cifar10_mlp_seed0,"{""best_metric"": 0.423828125, ""best_step"": 132, ""best_val_accuracy"": 0.423828125, ""final_metric"": 0.41796875, ""final_train_accuracy"": 0.453125, ""final_train_loss"": 1.4598671197891235, ""test_accuracy"": 0.41796875, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.7092758417129517, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.056828662753105164, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.9460371732711792, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.6032384634017944, ""test_margin_mean"": -0.4279916286468506, ""test_nll"": 1.6032384634017944, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.5180455446243286, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 0.9383153915405273, ""val_accuracy"": 0.41015625, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.7060863971710205, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.07945716381072998, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.9417574405670166, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.5746592283248901, ""val_margin_mean"": -0.385060578584671, ""val_nll"": 1.5746592283248901, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.5566967725753784, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_cosine_prototype_seed0,2026-04-24T08:26:44Z,COMPLETED,,head_ablation,image_classification,cosine_prototype,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,640,640,1.5499072074890137,0.40625,0.412109375,reports/head_ablation/runs/20260424_082642_frozen_cifar10_cosine_prototype_seed0,"{""best_metric"": 0.40625, ""best_step"": 132, ""best_val_accuracy"": 0.40625, ""final_metric"": 0.412109375, ""final_train_accuracy"": 0.46875, ""final_train_loss"": 1.5509129762649536, ""test_accuracy"": 0.412109375, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.7303656339645386, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.07425680756568909, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.5124926567077637, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.6385352611541748, ""test_margin_mean"": -0.38528764247894287, ""test_nll"": 1.6385352611541748, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.1272048950195312, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 1.5499072074890137, ""val_accuracy"": 0.40625, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.7318382859230042, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.06085877865552902, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.5183703899383545, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.6296279430389404, ""val_margin_mean"": -0.37854886054992676, ""val_nll"": 1.6296279430389404, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.1398216485977173, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_eml_no_ambiguity_seed0,2026-04-24T08:26:47Z,COMPLETED,,head_ablation,image_classification,eml_no_ambiguity,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,3.0482213497161865,0.373046875,0.396484375,reports/head_ablation/runs/20260424_082644_frozen_cifar10_eml_no_ambiguity_seed0,"{""best_metric"": 0.373046875, ""best_step"": 200, ""best_val_accuracy"": 0.373046875, ""final_metric"": 0.396484375, ""final_train_accuracy"": 0.359375, ""final_train_loss"": 1.6416213512420654, ""test_accuracy"": 0.396484375, ""test_ambiguity_mean"": 0.0, ""test_brier"": 0.7423882484436035, ""test_class_resistance_mean"": 0.20066796243190765, ""test_ece"": 0.0697711706161499, ""test_hard_negative_drive_mean"": 6.523688793182373, ""test_hard_negative_logit_mean"": 1.9941397905349731, ""test_hard_negative_resistance_mean"": 2.7894368171691895, ""test_loss"": 1.6854519844055176, ""test_margin_mean"": -0.4354214668273926, ""test_nll"": 1.6854519844055176, ""test_positive_drive_mean"": 5.008125305175781, ""test_positive_logit_mean"": 1.5587184429168701, ""test_positive_resistance_mean"": 2.7894601821899414, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 2.588528633117676, ""total_train_time_sec"": 3.0482213497161865, ""val_accuracy"": 0.373046875, ""val_ambiguity_mean"": 0.0, ""val_brier"": 0.7495812773704529, ""val_class_resistance_mean"": 0.20066796243190765, ""val_ece"": 0.051949478685855865, ""val_hard_negative_drive_mean"": 6.544000148773193, ""val_hard_negative_logit_mean"": 2.0019540786743164, ""val_hard_negative_resistance_mean"": 2.7586326599121094, ""val_loss"": 1.6945089101791382, ""val_margin_mean"": -0.4544770419597626, ""val_nll"": 1.6945089101791382, ""val_positive_drive_mean"": 5.011751651763916, ""val_positive_logit_mean"": 1.5474770069122314, ""val_positive_resistance_mean"": 2.757965087890625, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 2.557485580444336}"
frozen_cifar10_eml_raw_ambiguity_seed0,2026-04-24T08:26:50Z,COMPLETED,,head_ablation,image_classification,eml_raw_ambiguity,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,2.916092872619629,0.375,0.400390625,reports/head_ablation/runs/20260424_082647_frozen_cifar10_eml_raw_ambiguity_seed0,"{""best_metric"": 0.375, ""best_step"": 200, ""best_val_accuracy"": 0.375, ""final_metric"": 0.400390625, ""final_train_accuracy"": 0.375, ""final_train_loss"": 1.6411478519439697, ""test_accuracy"": 0.400390625, ""test_ambiguity_mean"": 2.548607587814331, ""test_brier"": 0.7416855692863464, ""test_class_resistance_mean"": 0.19921843707561493, ""test_ece"": 0.07266826182603836, ""test_hard_negative_drive_mean"": 6.5013427734375, ""test_hard_negative_logit_mean"": 1.9732006788253784, ""test_hard_negative_resistance_mean"": 2.5538926124572754, ""test_loss"": 1.6840763092041016, ""test_margin_mean"": -0.43500736355781555, ""test_nll"": 1.6840763092041016, ""test_positive_drive_mean"": 4.99102783203125, ""test_positive_logit_mean"": 1.5381934642791748, ""test_positive_resistance_mean"": 2.5724828243255615, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 0.0004384183557704091, ""total_train_time_sec"": 2.916092872619629, ""val_accuracy"": 0.375, ""val_ambiguity_mean"": 2.553354263305664, ""val_brier"": 0.748916506767273, ""val_class_resistance_mean"": 0.19921843707561493, ""val_ece"": 0.047464873641729355, ""val_hard_negative_drive_mean"": 6.519277095794678, ""val_hard_negative_logit_mean"": 1.9795010089874268, ""val_hard_negative_resistance_mean"": 2.552644729614258, ""val_loss"": 1.6929470300674438, ""val_margin_mean"": -0.4541051387786865, ""val_nll"": 1.6929470300674438, ""val_positive_drive_mean"": 4.998132705688477, ""val_positive_logit_mean"": 1.5253958702087402, ""val_positive_resistance_mean"": 2.572695255279541, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 0.00043765566078945994}"
frozen_cifar10_eml_centered_ambiguity_seed0,2026-04-24T08:26:53Z,COMPLETED,,head_ablation,image_classification,eml_centered_ambiguity,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,2.9472315311431885,0.375,0.3984375,reports/head_ablation/runs/20260424_082650_frozen_cifar10_eml_centered_ambiguity_seed0,"{""best_metric"": 0.375, ""best_step"": 200, ""best_val_accuracy"": 0.375, ""final_metric"": 0.3984375, ""final_train_accuracy"": 0.375, ""final_train_loss"": 1.6407601833343506, ""test_accuracy"": 0.3984375, ""test_ambiguity_mean"": 0.37583327293395996, ""test_brier"": 0.7414577007293701, ""test_class_resistance_mean"": 0.20048971474170685, ""test_ece"": 0.07017489522695541, ""test_hard_negative_drive_mean"": 6.498844146728516, ""test_hard_negative_logit_mean"": 2.05375075340271, ""test_hard_negative_resistance_mean"": 0.6145612001419067, ""test_loss"": 1.683484673500061, ""test_margin_mean"": -0.4349728226661682, ""test_nll"": 1.683484673500061, ""test_positive_drive_mean"": 4.990965843200684, ""test_positive_logit_mean"": 1.618777871131897, ""test_positive_resistance_mean"": 0.6332348585128784, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 0.23472028970718384, ""total_train_time_sec"": 2.9472315311431885, ""val_accuracy"": 0.375, ""val_ambiguity_mean"": 0.3805670142173767, ""val_brier"": 0.748674750328064, ""val_class_resistance_mean"": 0.20048971474170685, ""val_ece"": 0.04699093475937843, ""val_hard_negative_drive_mean"": 6.515980243682861, ""val_hard_negative_logit_mean"": 2.059873104095459, ""val_hard_negative_resistance_mean"": 0.6135752201080322, ""val_loss"": 1.6923161745071411, ""val_margin_mean"": -0.4539243280887604, ""val_nll"": 1.6923161745071411, ""val_positive_drive_mean"": 4.998414993286133, ""val_positive_logit_mean"": 1.6059486865997314, ""val_positive_resistance_mean"": 0.6331449151039124, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 0.23471571505069733}"
frozen_cifar10_linear_seed1,2026-04-24T08:26:57Z,COMPLETED,,head_ablation,image_classification,linear,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,650,650,0.8158564567565918,0.419921875,0.416015625,reports/head_ablation/runs/20260424_082656_frozen_cifar10_linear_seed1,"{""best_metric"": 0.419921875, ""best_step"": 132, ""best_val_accuracy"": 0.419921875, ""final_metric"": 0.416015625, ""final_train_accuracy"": 0.546875, ""final_train_loss"": 1.447441577911377, ""test_accuracy"": 0.416015625, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.7268508672714233, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.09083026647567749, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.2134758234024048, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.6156764030456543, ""test_margin_mean"": -0.33391332626342773, ""test_nll"": 1.6156764030456543, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 0.879562497138977, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 0.8158564567565918, ""val_accuracy"": 0.41796875, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.7164789438247681, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.06421592831611633, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.2718373537063599, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.5779032707214355, ""val_margin_mean"": -0.32624128460884094, ""val_nll"": 1.5779032707214355, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 0.9455960988998413, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_mlp_seed1,2026-04-24T08:26:57Z,COMPLETED,,head_ablation,image_classification,mlp,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,9738,9738,0.9177408218383789,0.42578125,0.412109375,reports/head_ablation/runs/20260424_082657_frozen_cifar10_mlp_seed1,"{""best_metric"": 0.42578125, ""best_step"": 66, ""best_val_accuracy"": 0.42578125, ""final_metric"": 0.412109375, ""final_train_accuracy"": 0.515625, ""final_train_loss"": 1.315889835357666, ""test_accuracy"": 0.412109375, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.717689037322998, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.06930138915777206, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.9789751768112183, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.5890529155731201, ""test_margin_mean"": -0.425510436296463, ""test_nll"": 1.5890529155731201, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.5534648895263672, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 0.9177408218383789, ""val_accuracy"": 0.40625, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.7043218612670898, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.08193625509738922, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 2.0364203453063965, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.5573972463607788, ""val_margin_mean"": -0.40807461738586426, ""val_nll"": 1.5573972463607788, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.6283456087112427, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_cosine_prototype_seed1,2026-04-24T08:26:59Z,COMPLETED,,head_ablation,image_classification,cosine_prototype,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,640,640,1.3674845695495605,0.421875,0.427734375,reports/head_ablation/runs/20260424_082658_frozen_cifar10_cosine_prototype_seed1,"{""best_metric"": 0.421875, ""best_step"": 200, ""best_val_accuracy"": 0.421875, ""final_metric"": 0.427734375, ""final_train_accuracy"": 0.5625, ""final_train_loss"": 1.4520541429519653, ""test_accuracy"": 0.427734375, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.7249523401260376, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.08118169754743576, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.5069303512573242, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.6172839403152466, ""test_margin_mean"": -0.3479955196380615, ""test_nll"": 1.6172839403152466, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.1589348316192627, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 1.3674845695495605, ""val_accuracy"": 0.421875, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.7156661748886108, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.06894191354513168, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.5587654113769531, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.5800423622131348, ""val_margin_mean"": -0.3381943702697754, ""val_nll"": 1.5800423622131348, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.2205710411071777, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_eml_no_ambiguity_seed1,2026-04-24T08:27:02Z,COMPLETED,,head_ablation,image_classification,eml_no_ambiguity,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,2.747469425201416,0.412109375,0.390625,reports/head_ablation/runs/20260424_082659_frozen_cifar10_eml_no_ambiguity_seed1,"{""best_metric"": 0.412109375, ""best_step"": 132, ""best_val_accuracy"": 0.412109375, ""final_metric"": 0.390625, ""final_train_accuracy"": 0.40625, ""final_train_loss"": 1.525150179862976, ""test_accuracy"": 0.390625, ""test_ambiguity_mean"": 0.0, ""test_brier"": 0.748500406742096, ""test_class_resistance_mean"": 0.20173440873622894, ""test_ece"": 0.08031096309423447, ""test_hard_negative_drive_mean"": 6.162495136260986, ""test_hard_negative_logit_mean"": 1.8705323934555054, ""test_hard_negative_resistance_mean"": 10.972772598266602, ""test_loss"": 1.703934907913208, ""test_margin_mean"": -0.45209771394729614, ""test_nll"": 1.703934907913208, ""test_positive_drive_mean"": 4.841763019561768, ""test_positive_logit_mean"": 1.418434739112854, ""test_positive_resistance_mean"": 10.972423553466797, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 10.770634651184082, ""total_train_time_sec"": 2.747469425201416, ""val_accuracy"": 0.404296875, ""val_ambiguity_mean"": 0.0, ""val_brier"": 0.7386086583137512, ""val_class_resistance_mean"": 0.20173440873622894, ""val_ece"": 0.07488765567541122, ""val_hard_negative_drive_mean"": 6.443939208984375, ""val_hard_negative_logit_mean"": 1.890229344367981, ""val_hard_negative_resistance_mean"": 11.795166015625, ""val_loss"": 1.662786841392517, ""val_margin_mean"": -0.4332659840583801, ""val_nll"": 1.662786841392517, ""val_positive_drive_mean"": 4.990170478820801, ""val_positive_logit_mean"": 1.456963300704956, ""val_positive_resistance_mean"": 11.794577598571777, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 11.592414855957031}"
frozen_cifar10_eml_raw_ambiguity_seed1,2026-04-24T08:27:05Z,COMPLETED,,head_ablation,image_classification,eml_raw_ambiguity,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,2.910236358642578,0.4140625,0.400390625,reports/head_ablation/runs/20260424_082702_frozen_cifar10_eml_raw_ambiguity_seed1,"{""best_metric"": 0.4140625, ""best_step"": 200, ""best_val_accuracy"": 0.4140625, ""final_metric"": 0.400390625, ""final_train_accuracy"": 0.421875, ""final_train_loss"": 1.52173912525177, ""test_accuracy"": 0.400390625, ""test_ambiguity_mean"": 2.4994797706604004, ""test_brier"": 0.7477881908416748, ""test_class_resistance_mean"": 0.1997416764497757, ""test_ece"": 0.08375715464353561, ""test_hard_negative_drive_mean"": 6.154848575592041, ""test_hard_negative_logit_mean"": 1.945931077003479, ""test_hard_negative_resistance_mean"": 2.5147337913513184, ""test_loss"": 1.7022045850753784, ""test_margin_mean"": -0.45173847675323486, ""test_nll"": 1.7022045850753784, ""test_positive_drive_mean"": 4.8379364013671875, ""test_positive_logit_mean"": 1.4941926002502441, ""test_positive_resistance_mean"": 2.5452158451080322, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 0.0003732989134732634, ""total_train_time_sec"": 2.910236358642578, ""val_accuracy"": 0.4140625, ""val_ambiguity_mean"": 2.5226216316223145, ""val_brier"": 0.7377749085426331, ""val_class_resistance_mean"": 0.1997416764497757, ""val_ece"": 0.09017175436019897, ""val_hard_negative_drive_mean"": 6.433550834655762, ""val_hard_negative_logit_mean"": 1.9750359058380127, ""val_hard_negative_resistance_mean"": 2.5436391830444336, ""val_loss"": 1.6611661911010742, ""val_margin_mean"": -0.43271544575691223, ""val_nll"": 1.6611661911010742, ""val_positive_drive_mean"": 4.986919403076172, ""val_positive_logit_mean"": 1.5423204898834229, ""val_positive_resistance_mean"": 2.5534446239471436, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 0.00037152800359763205}"
frozen_cifar10_eml_centered_ambiguity_seed1,2026-04-24T08:27:08Z,COMPLETED,,head_ablation,image_classification,eml_centered_ambiguity,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,2.978687286376953,0.416015625,0.400390625,reports/head_ablation/runs/20260424_082705_frozen_cifar10_eml_centered_ambiguity_seed1,"{""best_metric"": 0.416015625, ""best_step"": 200, ""best_val_accuracy"": 0.416015625, ""final_metric"": 0.400390625, ""final_train_accuracy"": 0.421875, ""final_train_loss"": 1.5206975936889648, ""test_accuracy"": 0.400390625, ""test_ambiguity_mean"": 0.3320609927177429, ""test_brier"": 0.7475557327270508, ""test_class_resistance_mean"": 0.20093777775764465, ""test_ece"": 0.08231192082166672, ""test_hard_negative_drive_mean"": 6.155501365661621, ""test_hard_negative_logit_mean"": 2.022594928741455, ""test_hard_negative_resistance_mean"": 0.6789712905883789, ""test_loss"": 1.7015678882598877, ""test_margin_mean"": -0.4517483115196228, ""test_nll"": 1.7015678882598877, ""test_positive_drive_mean"": 4.841283321380615, ""test_positive_logit_mean"": 1.570846676826477, ""test_positive_resistance_mean"": 0.7091535925865173, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 0.33307307958602905, ""total_train_time_sec"": 2.978687286376953, ""val_accuracy"": 0.416015625, ""val_ambiguity_mean"": 0.3554510772228241, ""val_brier"": 0.7375309467315674, ""val_class_resistance_mean"": 0.20093777775764465, ""val_ece"": 0.09277133643627167, ""val_hard_negative_drive_mean"": 6.433359146118164, ""val_hard_negative_logit_mean"": 2.052028179168701, ""val_hard_negative_resistance_mean"": 0.6925511956214905, ""val_loss"": 1.660601019859314, ""val_margin_mean"": -0.4327184855937958, ""val_nll"": 1.660601019859314, ""val_positive_drive_mean"": 4.989003658294678, ""val_positive_logit_mean"": 1.619309663772583, ""val_positive_resistance_mean"": 0.7014526128768921, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 0.3172793388366699}"
frozen_cifar10_linear_seed2,2026-04-24T08:27:11Z,COMPLETED,,head_ablation,image_classification,linear,cifar10,2,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,650,650,0.9505410194396973,0.44921875,0.458984375,reports/head_ablation/runs/20260424_082710_frozen_cifar10_linear_seed2,"{""best_metric"": 0.44921875, ""best_step"": 132, ""best_val_accuracy"": 0.44921875, ""final_metric"": 0.458984375, ""final_train_accuracy"": 0.46875, ""final_train_loss"": 1.3518239259719849, ""test_accuracy"": 0.458984375, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.6805048584938049, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.09313397854566574, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.2413713932037354, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.5095384120941162, ""test_margin_mean"": -0.19386251270771027, ""test_nll"": 1.5095384120941162, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.047508955001831, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 0.9505410194396973, ""val_accuracy"": 0.443359375, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.6875624060630798, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.09095108509063721, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.260866403579712, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.492592692375183, ""val_margin_mean"": -0.1962645947933197, ""val_nll"": 1.492592692375183, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.0646016597747803, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
