mse,rmse,mae,group0_mse,group1_mse,worst_group_mse,group_mse_gap,resistance_high_error_auc,energy_high_error_auc,diag_edge_drive_mean,diag_edge_drive_std,diag_edge_resistance_mean,diag_edge_resistance_std,diag_edge_energy_mean,diag_edge_energy_std,diag_edge_output_mean,diag_edge_output_std
0.9471480846405029,0.9732153415679932,0.7413508296012878,0.9053084850311279,0.9881783127784729,0.9881783127784729,0.08286982774734497,0.5065531730651855,0.4746670424938202,-0.0008803716627880931,0.11841713637113571,0.24966156482696533,0.27587488293647766,-0.007073207758367062,0.014356094412505627,0.0005218383157625794,0.060059305280447006
0.7292617559432983,0.8539682626724243,0.5876392126083374,0.705914318561554,0.7521576285362244,0.7521576285362244,0.04624330997467041,0.4556383788585663,0.4475054144859314,-0.007083036936819553,0.15386956930160522,0.26863276958465576,0.3291347026824951,-0.011107179336249828,0.02371504344046116,0.0015922237653285265,0.13365770876407623
0.6713659763336182,0.8193692564964294,0.5541201233863831,0.6554360389709473,0.6869878172874451,0.6869878172874451,0.0315517783164978,0.5286917686462402,0.5253605842590332,-0.01605811156332493,0.19566474854946136,0.28739988803863525,0.3492477834224701,-0.016241060569882393,0.03218185901641846,-0.0007761048618704081,0.15942318737506866
0.6133735775947571,0.7831817269325256,0.5364528894424438,0.5983741879463196,0.6280828714370728,0.6280828714370728,0.029708683490753174,0.5401034951210022,0.557317316532135,-0.014148714952170849,0.2262648195028305,0.31143850088119507,0.40528789162635803,-0.017295336350798607,0.03916782885789871,-0.0011450548190623522,0.1850489377975464
0.5509121417999268,0.7422345876693726,0.5223515033721924,0.5353830456733704,0.5661410093307495,0.5661410093307495,0.03075796365737915,0.5406833291053772,0.5707545876502991,-0.00909094512462616,0.2556312084197998,0.3557032346725464,0.5490130186080933,-0.021844392642378807,0.05097563937306404,0.0025807819329202175,0.22753597795963287
0.5026118159294128,0.7089512348175049,0.49297356605529785,0.47953614592552185,0.5252412557601929,0.5252412557601929,0.04570510983467102,0.515038013458252,0.5693393349647522,-0.00540243461728096,0.2715481221675873,0.40402960777282715,0.6734927892684937,-0.027316510677337646,0.062132760882377625,0.0036075024399906397,0.26729094982147217
0.45479995012283325,0.674388587474823,0.4737987518310547,0.4362817704677582,0.4729600250720978,0.4729600250720978,0.0366782546043396,0.4762129485607147,0.5554500222206116,-0.006464066915214062,0.28092634677886963,0.45521724224090576,0.8320356011390686,-0.03169874846935272,0.07348240166902542,0.00032476417254656553,0.3074852228164673
0.4256371557712555,0.6524087190628052,0.4629948139190674,0.40668120980262756,0.4442265033721924,0.4442265033721924,0.03754529356956482,0.46826598048210144,0.528719425201416,-0.00519790593534708,0.2842956483364105,0.5081624984741211,0.9876986145973206,-0.03953404352068901,0.0860254317522049,-0.0004883501678705215,0.3447558879852295
0.40533021092414856,0.6366555094718933,0.45252135396003723,0.3811565339565277,0.42903634905815125,0.42903634905815125,0.047879815101623535,0.5018343925476074,0.5368800759315491,0.002896235091611743,0.2893786132335663,0.5526213645935059,1.1223500967025757,-0.04483575373888016,0.09909788519144058,0.012767782434821129,0.3876788914203644
0.38413020968437195,0.6197823882102966,0.44015830755233765,0.3605494797229767,0.4072548449039459,0.4072548449039459,0.04670536518096924,0.4912228584289551,0.5195326805114746,0.005330491811037064,0.2989984154701233,0.5991978645324707,1.2460415363311768,-0.05150541663169861,0.11543802917003632,0.013158302754163742,0.4250779151916504
