run_id,timestamp,status,reason,mode,task_name,model_name,dataset_name,seed,device,git_commit,hostname,python_version,torch_version,torchvision_version,cuda_available,num_params,trainable_params,total_train_time_sec,best_metric,final_metric,run_dir,metrics_json
cnn_eml_workers0_seed0,2026-04-24T08:51:57Z,COMPLETED,,smoke,image_synthetic,cnn_eml_workers0,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,162644,162644,0.10199809074401855,0.25,0.25,reports/image_representation_ablation/runs/20260424_085157_cnn_eml_workers0_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.25, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 825.081931739943, ""final_diagnostics"": {""ambiguity_mean"": 0.3855128884315491, ""ambiguity_std"": 0.36182624101638794, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""drive_mean"": 0.0059026312083005905, ""drive_std"": 0.3154403865337372, ""energy_mean"": -0.8641460537910461, ""energy_std"": 0.34767401218414307, ""gate_activation_rate"": 0.26896119117736816, ""gate_mean"": 0.26896119117736816, ""gate_std"": 0.00031456604483537376, ""resistance_mean"": 0.17261768877506256, ""resistance_std"": 0.45701953768730164, ""sample_uncertainty_mean"": 0.6930795311927795, ""sample_uncertainty_std"": 0.00016400252934545279}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.660482406616211, ""grad_norm"": 1.182298183441162, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": -0.22489310801029205, ""resistance_occlusion_corr"": -0.31494390964508057, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.009696006774902344, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.10199809074401855, ""train_accuracy"": 0.25, ""train_loss"": 1.660482406616211, ""wall_clock_time_sec"": 0.10117602348327637, ""warmup_eta"": 1.0}"
pure_eml_workers0_seed0,2026-04-24T08:51:57Z,COMPLETED,,smoke,image_synthetic,pure_eml_workers0,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,47638,47638,0.029516935348510742,0.375,0.25,reports/image_representation_ablation/runs/20260424_085157_pure_eml_workers0_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 2013.1048716102712, ""final_diagnostics"": {""ambiguity_mean"": 1.1482419967651367, ""ambiguity_std"": 0.7303535342216492, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""drive_mean"": 2.795529553623055e-06, ""drive_std"": 0.06639722734689713, ""energy_mean"": -0.9983658194541931, ""energy_std"": 0.04557924345135689, ""gate_activation_rate"": 0.2689192295074463, ""gate_mean"": 0.2689192295074463, ""gate_std"": 0.00015645123494323343, ""resistance_mean"": 0.0031102162320166826, ""resistance_std"": 0.08740335702896118, ""sample_uncertainty_mean"": 0.6935309767723083, ""sample_uncertainty_std"": 5.100258204038255e-05}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6291041374206543, ""grad_norm"": 14.8678617477417, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": -0.25125542283058167, ""resistance_occlusion_corr"": 0.2046559900045395, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.003973960876464844, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.029516935348510742, ""train_accuracy"": 0.25, ""train_loss"": 1.6291041374206543, ""wall_clock_time_sec"": 0.028402090072631836, ""warmup_eta"": 1.0}"
efficient_baseline_seed0,2026-04-24T08:51:58Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_baseline,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.11120319366455078,0.375,0.25,reports/image_representation_ablation/runs/20260424_085157_efficient_baseline_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 328.375874656254, ""final_diagnostics"": {""ambiguity_mean"": 0.7636078000068665, ""ambiguity_std"": 0.6140426397323608, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9337958097457886, ""attractor_activation_std"": 6.113625568104908e-05, ""attractor_diversity"": 0.01890239305794239, ""drive_mean"": 0.014100058004260063, ""drive_std"": 0.05251361057162285, ""energy_mean"": -0.23546241223812103, ""energy_std"": 0.028311120346188545, ""null_weight_mean"": 0.1597428172826767, ""null_weight_std"": 0.0455072745680809, ""prototype_diversity_penalty_mean"": 0.05301724746823311, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3631786108016968, ""resistance_std"": 0.12045645713806152, ""sample_uncertainty_mean"": 0.692825198173523, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09137196838855743, ""update_gate_std"": 0.004592863377183676, ""update_strength_mean"": 0.8547105193138123, ""update_strength_std"": 0.03822897747159004}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6158926486968994, ""grad_norm"": 1.767300009727478, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": -0.33736586570739746, ""resistance_occlusion_corr"": -0.5603407025337219, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.02436232566833496, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.11120319366455078, ""train_accuracy"": 0.25, ""train_loss"": 1.6158926486968994, ""wall_clock_time_sec"": 0.11047005653381348, ""warmup_eta"": 1.0}"
efficient_centered_ambiguity_seed0,2026-04-24T08:51:58Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_centered_ambiguity,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.10063982009887695,0.375,0.25,reports/image_representation_ablation/runs/20260424_085158_efficient_centered_ambiguity_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 356.4766275709672, ""final_diagnostics"": {""ambiguity_mean"": 0.7636078000068665, ""ambiguity_std"": 0.6140426397323608, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9337958097457886, ""attractor_activation_std"": 6.113625568104908e-05, ""attractor_diversity"": 0.01890239305794239, ""drive_mean"": 0.014100058004260063, ""drive_std"": 0.05251361057162285, ""energy_mean"": -0.23546241223812103, ""energy_std"": 0.028311120346188545, ""null_weight_mean"": 0.1597428172826767, ""null_weight_std"": 0.0455072745680809, ""prototype_diversity_penalty_mean"": 0.05301724746823311, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3631786108016968, ""resistance_std"": 0.12045645713806152, ""sample_uncertainty_mean"": 0.692825198173523, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09137196838855743, ""update_gate_std"": 0.004592863377183676, ""update_strength_mean"": 0.8547105193138123, ""update_strength_std"": 0.03822897747159004}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6158926486968994, ""grad_norm"": 1.767300009727478, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": -0.33736586570739746, ""resistance_occlusion_corr"": -0.5603407025337219, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.022441864013671875, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.10063982009887695, ""train_accuracy"": 0.25, ""train_loss"": 1.6158926486968994, ""wall_clock_time_sec"": 0.09992384910583496, ""warmup_eta"": 1.0}"
efficient_thresholded_null_seed0,2026-04-24T08:51:58Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_thresholded_null,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.10457491874694824,0.375,0.25,reports/image_representation_ablation/runs/20260424_085158_efficient_thresholded_null_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 354.81428375048904, ""final_diagnostics"": {""ambiguity_mean"": 0.7636078000068665, ""ambiguity_std"": 0.6140426397323608, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9337958097457886, ""attractor_activation_std"": 6.113625568104908e-05, ""attractor_diversity"": 0.01890239305794239, ""drive_mean"": 0.014100058004260063, ""drive_std"": 0.05251361057162285, ""energy_mean"": -0.23546241223812103, ""energy_std"": 0.028311120346188545, ""null_weight_mean"": 0.1597428172826767, ""null_weight_std"": 0.0455072745680809, ""prototype_diversity_penalty_mean"": 0.05301724746823311, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3631786108016968, ""resistance_std"": 0.12045645713806152, ""sample_uncertainty_mean"": 0.692825198173523, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09137196838855743, ""update_gate_std"": 0.004592863377183676, ""update_strength_mean"": 0.8547105193138123, ""update_strength_std"": 0.03822897747159004}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6158926486968994, ""grad_norm"": 1.767300009727478, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": -0.33736586570739746, ""resistance_occlusion_corr"": -0.5603407025337219, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.022547006607055664, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.10457491874694824, ""train_accuracy"": 0.25, ""train_loss"": 1.6158926486968994, ""wall_clock_time_sec"": 0.10327696800231934, ""warmup_eta"": 1.0}"
efficient_precision_identity_seed0,2026-04-24T08:51:58Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_precision_identity,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.1080780029296875,0.375,0.25,reports/image_representation_ablation/runs/20260424_085158_efficient_precision_identity_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 321.104261366355, ""final_diagnostics"": {""ambiguity_mean"": 0.7636078000068665, ""ambiguity_std"": 0.6140426397323608, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9337958097457886, ""attractor_activation_std"": 6.113625568104908e-05, ""attractor_diversity"": 0.01890239305794239, ""drive_mean"": 0.014100058004260063, ""drive_std"": 0.05251361057162285, ""energy_mean"": -0.23546241223812103, ""energy_std"": 0.028311120346188545, ""null_weight_mean"": 0.1597428172826767, ""null_weight_std"": 0.0455072745680809, ""prototype_diversity_penalty_mean"": 0.05301724746823311, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3631786108016968, ""resistance_std"": 0.12045645713806152, ""sample_uncertainty_mean"": 0.692825198173523, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09137196838855743, ""update_gate_std"": 0.004592863377183676, ""update_strength_mean"": 0.8547105193138123, ""update_strength_std"": 0.03822897747159004}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6158926486968994, ""grad_norm"": 1.767300009727478, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": -0.33736586570739746, ""resistance_occlusion_corr"": -0.5603407025337219, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.024914026260375977, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.1080780029296875, ""train_accuracy"": 0.25, ""train_loss"": 1.6158926486968994, ""wall_clock_time_sec"": 0.10690927505493164, ""warmup_eta"": 1.0}"
efficient_combo_seed0,2026-04-24T08:51:58Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_combo,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.11034202575683594,0.375,0.25,reports/image_representation_ablation/runs/20260424_085158_efficient_combo_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 314.62785987547824, ""final_diagnostics"": {""ambiguity_mean"": 0.7636078000068665, ""ambiguity_std"": 0.6140426397323608, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9337958097457886, ""attractor_activation_std"": 6.113625568104908e-05, ""attractor_diversity"": 0.01890239305794239, ""drive_mean"": 0.014100058004260063, ""drive_std"": 0.05251361057162285, ""energy_mean"": -0.23546241223812103, ""energy_std"": 0.028311120346188545, ""null_weight_mean"": 0.1597428172826767, ""null_weight_std"": 0.0455072745680809, ""prototype_diversity_penalty_mean"": 0.05301724746823311, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3631786108016968, ""resistance_std"": 0.12045645713806152, ""sample_uncertainty_mean"": 0.692825198173523, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09137196838855743, ""update_gate_std"": 0.004592863377183676, ""update_strength_mean"": 0.8547105193138123, ""update_strength_std"": 0.03822897747159004}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6158926486968994, ""grad_norm"": 1.767300009727478, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": -0.33736586570739746, ""resistance_occlusion_corr"": -0.5603407025337219, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.025426864624023438, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.11034202575683594, ""train_accuracy"": 0.25, ""train_loss"": 1.6158926486968994, ""wall_clock_time_sec"": 0.1096501350402832, ""warmup_eta"": 1.0}"
efficient_combo_no_composition_seed0,2026-04-24T08:51:58Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_no_composition,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.14117121696472168,0.375,0.25,reports/image_representation_ablation/runs/20260424_085158_efficient_combo_no_composition_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 288.258410363905, ""final_diagnostics"": {""ambiguity_mean"": 0.24008476734161377, ""ambiguity_std"": 0.44413992762565613, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9825921654701233, ""attractor_activation_std"": 1.2745105777867138e-05, ""attractor_diversity"": 0.03921930491924286, ""drive_mean"": 0.007585491519421339, ""drive_std"": 0.04769153147935867, ""energy_mean"": -0.2269069403409958, ""energy_std"": 0.03788984566926956, ""null_weight_mean"": 0.14236901700496674, ""null_weight_std"": 0.045231666415929794, ""prototype_diversity_penalty_mean"": 0.053024519234895706, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3127809762954712, ""resistance_std"": 0.20894072949886322, ""sample_uncertainty_mean"": 0.6930199265480042, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09182548522949219, ""update_gate_std"": 0.00551309110596776, ""update_strength_mean"": 0.8576310276985168, ""update_strength_std"": 0.045231662690639496}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6048660278320312, ""grad_norm"": 0.7988573908805847, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": 0.5577356219291687, ""resistance_occlusion_corr"": 0.6474865078926086, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.02775287628173828, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.14117121696472168, ""train_accuracy"": 0.25, ""train_loss"": 1.6048660278320312, ""wall_clock_time_sec"": 0.1401660442352295, ""warmup_eta"": 1.0}"
efficient_combo_no_attractor_seed0,2026-04-24T08:51:58Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_no_attractor,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,95375,95375,0.09702873229980469,0.25,0.25,reports/image_representation_ablation/runs/20260424_085158_efficient_combo_no_attractor_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.25, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 381.71243956544, ""final_diagnostics"": {""ambiguity_mean"": 0.335911363363266, ""ambiguity_std"": 0.21591703593730927, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 1.0, ""attractor_activation_std"": 0.0, ""attractor_diversity"": 1.0, ""drive_mean"": 0.002084337407723069, ""drive_std"": 0.04516388848423958, ""energy_mean"": -0.23901666700839996, ""energy_std"": 0.028413642197847366, ""null_weight_mean"": 0.16466879844665527, ""null_weight_std"": 0.04131625220179558, ""prototype_diversity_penalty_mean"": 0.0489867702126503, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3760883808135986, ""resistance_std"": 0.08160761743783951, ""sample_uncertainty_mean"": 0.6939631104469299, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09030280262231827, ""update_gate_std"": 0.0031152961309999228, ""update_strength_mean"": 0.8795343637466431, ""update_strength_std"": 0.06738906353712082}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.5945605039596558, ""grad_norm"": 0.7530005574226379, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": 0.31229931116104126, ""resistance_occlusion_corr"": -0.1978556215763092, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.02095818519592285, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.09702873229980469, ""train_accuracy"": 0.25, ""train_loss"": 1.5945605039596558, ""wall_clock_time_sec"": 0.09621286392211914, ""warmup_eta"": 1.0}"
efficient_combo_sensor_bypass_seed0,2026-04-24T08:51:59Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_sensor_bypass,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.1396188735961914,0.375,0.25,reports/image_representation_ablation/runs/20260424_085158_efficient_combo_sensor_bypass_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 342.510993610028, ""final_diagnostics"": {""ambiguity_mean"": 0.7712961435317993, ""ambiguity_std"": 0.7354623079299927, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9337944984436035, ""attractor_activation_std"": 6.037627827026881e-05, ""attractor_diversity"": 0.02262837626039982, ""drive_mean"": 0.006616479251533747, ""drive_std"": 0.058755725622177124, ""energy_mean"": -0.2368660867214203, ""energy_std"": 0.029080357402563095, ""null_weight_mean"": 0.1598811000585556, ""null_weight_std"": 0.04549252986907959, ""prototype_diversity_penalty_mean"": 0.05299793556332588, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.365046501159668, ""resistance_std"": 0.12230521440505981, ""sample_uncertainty_mean"": 0.6928399801254272, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09119957685470581, ""update_gate_std"": 0.004621038679033518, ""update_strength_mean"": 0.8545364141464233, ""update_strength_std"": 0.038278430700302124}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6245226860046387, ""grad_norm"": 3.000661849975586, ""learning_rate"": 0.001, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": NaN, ""resistance_noise_corr"": 0.14660346508026123, ""resistance_occlusion_corr"": -0.0028068970423191786, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.023356914520263672, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.1396188735961914, ""train_accuracy"": 0.25, ""train_loss"": 1.6245226860046387, ""wall_clock_time_sec"": 0.1388099193572998, ""warmup_eta"": 1.0}"
efficient_combo_staged_seed0,2026-04-24T08:51:59Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_staged,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.1088860034942627,0.375,0.25,reports/image_representation_ablation/runs/20260424_085159_efficient_combo_staged_seed0,"{""ambiguity_weight"": 1.0, ""attractor_entropy_weight"": 0.0, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 330.9213487578528, ""final_diagnostics"": {""ambiguity_mean"": 0.7574968934059143, ""ambiguity_std"": 0.611270010471344, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9318186044692993, ""attractor_activation_std"": 7.689818448852748e-05, ""attractor_diversity"": 0.019180087372660637, ""drive_mean"": 0.013558403588831425, ""drive_std"": 0.05245492607355118, ""energy_mean"": -0.23556584119796753, ""energy_std"": 0.02828257903456688, ""null_weight_mean"": 0.16680335998535156, ""null_weight_std"": 0.0462941937148571, ""prototype_diversity_penalty_mean"": 0.05299926549196243, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3632835149765015, ""resistance_std"": 0.12041481584310532, ""sample_uncertainty_mean"": 0.6930385828018188, ""sample_uncertainty_std"": 0.0, ""update_gate_mean"": 0.09067787975072861, ""update_gate_std"": 0.004770259838551283, ""update_strength_mean"": 0.8472896814346313, ""update_strength_std"": 0.04005870968103409}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6157519817352295, ""grad_norm"": 1.7427247762680054, ""learning_rate"": 0.001, ""null_threshold"": 0.0, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": 0.0, ""resistance_noise_corr"": -0.37066906690597534, ""resistance_occlusion_corr"": -0.4989291727542877, ""responsibility_temperature"": 0.8, ""step"": 4, ""step_time_sec"": 0.024174928665161133, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.1088860034942627, ""train_accuracy"": 0.25, ""train_loss"": 1.6157519817352295, ""wall_clock_time_sec"": 0.1079401969909668, ""warmup_eta"": 1.0}"
efficient_combo_bypass_staged_seed0,2026-04-24T08:51:59Z,COMPLETED,,smoke,image_synthetic,EfficientEMLImageClassifier_bypass_staged,SyntheticShapeEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,115573,115573,0.11581802368164062,0.375,0.25,reports/image_representation_ablation/runs/20260424_085159_efficient_combo_bypass_staged_seed0,"{""ambiguity_weight"": 1.0, ""attractor_entropy_weight"": 0.0, ""best_metric"": 0.375, ""completed_steps"": 4, ""early_stop_step"": """", ""early_stop_triggered"": false, ""examples_per_sec"": 308.1299943983764, ""final_diagnostics"": {""ambiguity_mean"": 0.7657683491706848, ""ambiguity_std"": 0.7307779788970947, ""ambiguity_weight_mean"": 1.0, ""ambiguity_weight_std"": 0.0, ""attractor_activation_mean"": 0.9318166971206665, ""attractor_activation_std"": 7.569692388642579e-05, ""attractor_diversity"": 0.02235192060470581, ""drive_mean"": 0.0065723927691578865, ""drive_std"": 0.058569181710481644, ""energy_mean"": -0.2369096428155899, ""energy_std"": 0.029036998748779297, ""null_weight_mean"": 0.16697418689727783, ""null_weight_std"": 0.04627809673547745, ""prototype_diversity_penalty_mean"": 0.05297434329986572, ""prototype_diversity_penalty_std"": 0.0, ""resistance_mean"": 1.3651174306869507, ""resistance_std"": 0.12222880870103836, ""sample_uncertainty_mean"": 0.6930425763130188, ""sample_uncertainty_std"": 2.9802322387695312e-08, ""update_gate_mean"": 0.09051233530044556, ""update_gate_std"": 0.004797548986971378, ""update_strength_mean"": 0.8470733761787415, ""update_strength_std"": 0.0401194766163826}, ""final_metric"": 0.25, ""final_train_accuracy"": 0.25, ""final_train_loss"": 1.6241706609725952, ""grad_norm"": 2.9840774536132812, ""learning_rate"": 0.001, ""null_threshold"": 0.0, ""peak_memory_mb"": 0.0, ""precision_update_threshold"": 0.0, ""resistance_noise_corr"": 0.15875983238220215, ""resistance_occlusion_corr"": 0.006310623604804277, ""responsibility_temperature"": 0.8, ""step"": 4, ""step_time_sec"": 0.02596306800842285, ""top1_accuracy"": 0.25, ""top5_accuracy"": 1.0, ""total_train_time_sec"": 0.11581802368164062, ""train_accuracy"": 0.25, ""train_loss"": 1.6241706609725952, ""wall_clock_time_sec"": 0.11506366729736328, ""warmup_eta"": 1.0}"
