mse,rmse,mae,group0_mse,group1_mse,worst_group_mse,group_mse_gap
0.9236812591552734,0.9610833525657654,0.7275634407997131,0.8864648342132568,0.9601779580116272,0.9601779580116272,0.07371312379837036
0.7396073341369629,0.8600042462348938,0.6108112335205078,0.7206404209136963,0.758207380771637,0.758207380771637,0.037566959857940674
0.6729421615600586,0.8203305006027222,0.592188835144043,0.6604387164115906,0.6852037906646729,0.6852037906646729,0.024765074253082275
0.6590093374252319,0.8117939233779907,0.5909419059753418,0.6451353430747986,0.672615110874176,0.672615110874176,0.02747976779937744
0.6619526743888855,0.8136047124862671,0.5949130654335022,0.6474085450172424,0.6762154698371887,0.6762154698371887,0.02880692481994629
0.6569744348526001,0.8105396032333374,0.5929503440856934,0.645288348197937,0.6684346199035645,0.6684346199035645,0.02314627170562744
0.6291863322257996,0.7932126522064209,0.5790634751319885,0.6160299777984619,0.6420882344245911,0.6420882344245911,0.02605825662612915
0.611103355884552,0.7817310094833374,0.5724507570266724,0.6037798523902893,0.6182851791381836,0.6182851791381836,0.014505326747894287
0.5794885754585266,0.7612414956092834,0.5522868633270264,0.5701407194137573,0.5886556506156921,0.5886556506156921,0.018514931201934814
0.5426028966903687,0.7366158366203308,0.5345884561538696,0.5292413830757141,0.5557061433792114,0.5557061433792114,0.026464760303497314
0.48907554149627686,0.6993393898010254,0.49469509720802307,0.4807756245136261,0.4972149431705475,0.4972149431705475,0.016439318656921387
0.43477970361709595,0.6593782901763916,0.4569018483161926,0.4214639365673065,0.4478378891944885,0.4478378891944885,0.026373952627182007
0.381775826215744,0.61788010597229,0.431835412979126,0.3620624244213104,0.40110787749290466,0.40110787749290466,0.03904545307159424
0.3533211946487427,0.5944082736968994,0.3976200222969055,0.33777356147766113,0.3685681223869324,0.3685681223869324,0.03079456090927124
0.3378203511238098,0.5812231302261353,0.38638460636138916,0.31476905941963196,0.36042577028274536,0.36042577028274536,0.0456567108631134
0.3261248469352722,0.5710734128952026,0.37075018882751465,0.3070146143436432,0.34486547112464905,0.34486547112464905,0.03785085678100586
0.3115447163581848,0.5581619143486023,0.35711532831192017,0.2936013340950012,0.3291410505771637,0.3291410505771637,0.035539716482162476
0.30647581815719604,0.5536025762557983,0.348331481218338,0.2894008159637451,0.3232205808162689,0.3232205808162689,0.033819764852523804
0.3006724715232849,0.5483360886573792,0.3528367877006531,0.28398221731185913,0.3170399069786072,0.3170399069786072,0.03305768966674805
0.30068814754486084,0.5483503937721252,0.33179786801338196,0.28621166944503784,0.31488463282585144,0.31488463282585144,0.0286729633808136
